id,title,statement,requirement_id,slice_id,lifecycle_status,disposition,disposition_reason_ref,superseded_by,introduced_in,retired_in,source_kind,source_span,custom_attributes,last_referenced
AC-016,**Given** Secretary Eva co-attests the tally for vote VOTE-2026-004 and Chairman Dave records an Override decision <br> ,"**Given** Secretary Eva co-attests the tally for vote VOTE-2026-004 and Chairman Dave records an Override decision <br> **When** the override is submitted <br> **Then** the decision records Dave's override, the mandatory justification, Eva's co-attestation, and the timestamp; the event is `DecisionIssued` with `overrideFlag=true` and the audit entry is immutable.",FR-074,SL-009,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-016"", ""Given / When / Then"": ""**Given** Secretary Eva co-attests the tally for vote VOTE-2026-004 and Chairman Dave records an Override decision <br> **When** the override is submitted <br> **Then** the decision records Dave's override, the mandatory justification, Eva's co-attestation, and the timestamp; the event is `DecisionIssued` with `overrideFlag=true` and the audit entry is immutable."", ""Verifies"": ""FR-074, US-048"", ""Phase"": ""PH-1""}}",
AC-017,"**Given** a state transition on any governed entity (topic, decision, vote, action, risk, MoM) <br> **When** the transac","**Given** a state transition on any governed entity (topic, decision, vote, action, risk, MoM) <br> **When** the transaction commits <br> **Then** an audit entry is created with entity type, entity ID, action type, actor ID, UTC timestamp, before-state JSON, after-state JSON, and correlation ID, visible to Auditor, Chairman, and Secretary (**not** Administrator — SoD-5, ADR-0027 supersedes the FR-153 role clause).",FR-150,,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-017"", ""Given / When / Then"": ""**Given** a state transition on any governed entity (topic, decision, vote, action, risk, MoM) <br> **When** the transaction commits <br> **Then** an audit entry is created with entity type, entity ID, action type, actor ID, UTC timestamp, before-state JSON, after-state JSON, and correlation ID, visible to Auditor, Chairman, and Secretary (**not** Administrator — SoD-5, ADR-0027 supersedes the FR-153 role clause)."", ""Verifies"": ""FR-150, FR-151, US-075"", ""Phase"": ""PH-1""}}",
AC-018,"**Given** an audit log entry exists in the database <br> **When** any party (a DBA acting outside the app, or any API ca","**Given** an audit log entry exists in the database <br> **When** any party (a DBA acting outside the app, or any API call including Administrator) attempts to UPDATE or DELETE that row <br> **Then** the attempt fails via database constraint or application guard; no audit row is ever modified in normal operation.",FR-152,,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-018"", ""Given / When / Then"": ""**Given** an audit log entry exists in the database <br> **When** any party (a DBA acting outside the app, or any API call including Administrator) attempts to UPDATE or DELETE that row <br> **Then** the attempt fails via database constraint or application guard; no audit row is ever modified in normal operation."", ""Verifies"": ""FR-152, US-076"", ""Phase"": ""PH-1""}}",
AC-019,**Given** the audit log implements a hash-chain where each entry's hash covers its data plus the previous entry's hash <,"**Given** the audit log implements a hash-chain where each entry's hash covers its data plus the previous entry's hash <br> **When** the Auditor (or Chairman/Secretary; **not** Administrator — SoD-5, ADR-0027) runs the integrity check <br> **Then** the check reports all entries valid, or reports the first broken link and its entry ID if any entry was tampered with.",FR-152,,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-019"", ""Given / When / Then"": ""**Given** the audit log implements a hash-chain where each entry's hash covers its data plus the previous entry's hash <br> **When** the Auditor (or Chairman/Secretary; **not** Administrator — SoD-5, ADR-0027) runs the integrity check <br> **Then** the check reports all entries valid, or reports the first broken link and its entry ID if any entry was tampered with."", ""Verifies"": ""FR-152, US-076"", ""Phase"": ""PH-1""}}",
AC-020,"**Given** an Auditor searches the audit log with filters entity_type=""Topic"", actor=""user-42"", date range ""2026-06-01..2","**Given** an Auditor searches the audit log with filters entity_type=""Topic"", actor=""user-42"", date range ""2026-06-01..2026-06-30"" <br> **When** the search runs <br> **Then** paginated results show only matching entries with entity type, ID, action type, actor, and timestamp; a Member or Submitter running the same search receives HTTP 403.",FR-153,,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-020"", ""Given / When / Then"": ""**Given** an Auditor searches the audit log with filters entity_type=\""Topic\"", actor=\""user-42\"", date range \""2026-06-01..2026-06-30\"" <br> **When** the search runs <br> **Then** paginated results show only matching entries with entity type, ID, action type, actor, and timestamp; a Member or Submitter running the same search receives HTTP 403."", ""Verifies"": ""FR-153, US-077"", ""Phase"": ""PH-1""}}",
AC-021,"**Given** a Secretary configures vote VOTE-2026-005 with eligible voters {Alice, Bob, Carol}, options {Approve, Reject},","**Given** a Secretary configures vote VOTE-2026-005 with eligible voters {Alice, Bob, Carol}, options {Approve, Reject}, quorum 2, abstention allowed <br> **When** the vote is opened <br> **Then** the configuration locks, only the three eligible voters can cast a ballot, and the vote appears in each voter's notification center with a deep link.",FR-070,SL-009,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-021"", ""Given / When / Then"": ""**Given** a Secretary configures vote VOTE-2026-005 with eligible voters {Alice, Bob, Carol}, options {Approve, Reject}, quorum 2, abstention allowed <br> **When** the vote is opened <br> **Then** the configuration locks, only the three eligible voters can cast a ballot, and the vote appears in each voter's notification center with a deep link."", ""Verifies"": ""FR-070, US-045"", ""Phase"": ""PH-1""}}",
AC-022,**Given** vote VOTE-2026-005 is Open and Alice has already cast her vote <br> **When** Alice attempts a second ballot <b,"**Given** vote VOTE-2026-005 is Open and Alice has already cast her vote <br> **When** Alice attempts a second ballot <br> **Then** the system rejects it with an error (""You have already voted""); the first ballot is unchanged and the attempt is audited.",FR-072,SL-009,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-022"", ""Given / When / Then"": ""**Given** vote VOTE-2026-005 is Open and Alice has already cast her vote <br> **When** Alice attempts a second ballot <br> **Then** the system rejects it with an error (\""You have already voted\""); the first ballot is unchanged and the attempt is audited."", ""Verifies"": ""FR-072, US-046"", ""Phase"": ""PH-1""}}",
AC-023,**Given** vote VOTE-2026-005 is Closed <br> **When** the Auditor views the vote record <br> **Then** each eligible voter,"**Given** vote VOTE-2026-005 is Closed <br> **When** the Auditor views the vote record <br> **Then** each eligible voter's individual choice is visible and attributed (not anonymous), aggregate totals are shown, no name is masked, and the tally matches what the Chairman sees.",FR-073,SL-009,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-023"", ""Given / When / Then"": ""**Given** vote VOTE-2026-005 is Closed <br> **When** the Auditor views the vote record <br> **Then** each eligible voter's individual choice is visible and attributed (not anonymous), aggregate totals are shown, no name is masked, and the tally matches what the Chairman sees."", ""Verifies"": ""FR-073, US-046"", ""Phase"": ""PH-1""}}",
AC-024,**Given** vote VOTE-2026-005 has quorum 2 and only 1 eligible voter has cast a ballot <br> **When** the Secretary attemp,"**Given** vote VOTE-2026-005 has quorum 2 and only 1 eligible voter has cast a ballot <br> **When** the Secretary attempts to close the vote <br> **Then** the system rejects the close with an error (""Quorum not met: 1 of 2 required votes cast"") and the vote stays Open.",FR-071,SL-009,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-024"", ""Given / When / Then"": ""**Given** vote VOTE-2026-005 has quorum 2 and only 1 eligible voter has cast a ballot <br> **When** the Secretary attempts to close the vote <br> **Then** the system rejects the close with an error (\""Quorum not met: 1 of 2 required votes cast\"") and the vote stays Open."", ""Verifies"": ""FR-071, US-047"", ""Phase"": ""PH-1""}}",
AC-025,**Given** vote VOTE-2026-005 is Closed and Ratified <br> **When** any user (including Administrator or Chairman) attempt,"**Given** vote VOTE-2026-005 is Closed and Ratified <br> **When** any user (including Administrator or Chairman) attempts to modify a ballot, the tally, or the chairman's recorded action via API <br> **Then** the system returns an error (""Vote record is immutable after close""), no field is altered, and the attempt is audited.",FR-075,SL-009,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-025"", ""Given / When / Then"": ""**Given** vote VOTE-2026-005 is Closed and Ratified <br> **When** any user (including Administrator or Chairman) attempts to modify a ballot, the tally, or the chairman's recorded action via API <br> **Then** the system returns an error (\""Vote record is immutable after close\""), no field is altered, and the attempt is audited."", ""Verifies"": ""FR-075, US-049"", ""Phase"": ""PH-1""}}",
AC-026,"**Given** a vote is in Ratified state <br> **When** any party attempts to transition it back to Closed, Open, or Configu","**Given** a vote is in Ratified state <br> **When** any party attempts to transition it back to Closed, Open, or Configured <br> **Then** the system rejects the transition; vote lifecycle is strictly forward-only.",FR-077,SL-009,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-026"", ""Given / When / Then"": ""**Given** a vote is in Ratified state <br> **When** any party attempts to transition it back to Closed, Open, or Configured <br> **Then** the system rejects the transition; vote lifecycle is strictly forward-only."", ""Verifies"": ""FR-077, US-051"", ""Phase"": ""PH-1""}}",
AC-027,**Given** decision DECN-2026-003 is in Issued status <br> **When** any user (including Secretary or Chairman) attempts t,"**Given** decision DECN-2026-003 is in Issued status <br> **When** any user (including Secretary or Chairman) attempts to edit its outcome, rationale, alternatives, or conditions via API or UI <br> **Then** the system returns an error (""Issued decisions are immutable; create a superseding decision""), no field is altered, and the attempt is audited.",FR-066,SL-007,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-027"", ""Given / When / Then"": ""**Given** decision DECN-2026-003 is in Issued status <br> **When** any user (including Secretary or Chairman) attempts to edit its outcome, rationale, alternatives, or conditions via API or UI <br> **Then** the system returns an error (\""Issued decisions are immutable; create a superseding decision\""), no field is altered, and the attempt is audited."", ""Verifies"": ""FR-066, US-055"", ""Phase"": ""PH-1""}}",
AC-028,**Given** a Secretary creates decision DECN-2026-004 that supersedes DECN-2026-003 <br> **When** DECN-2026-004 is Issued,**Given** a Secretary creates decision DECN-2026-004 that supersedes DECN-2026-003 <br> **When** DECN-2026-004 is Issued <br> **Then** DECN-2026-003 is marked Superseded with a `SupersededByDecisionId` back-link to DECN-2026-004; both records remain readable and the prior content is unchanged.,FR-065,SL-007,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-028"", ""Given / When / Then"": ""**Given** a Secretary creates decision DECN-2026-004 that supersedes DECN-2026-003 <br> **When** DECN-2026-004 is Issued <br> **Then** DECN-2026-003 is marked Superseded with a `SupersededByDecisionId` back-link to DECN-2026-004; both records remain readable and the prior content is unchanged."", ""Verifies"": ""FR-065, US-055"", ""Phase"": ""PH-1""}}",
AC-029,**Given** a Secretary attempts to mark decision DECN-2026-005 as Issued with no downstream artifact links <br> **When** ,"**Given** a Secretary attempts to mark decision DECN-2026-005 as Issued with no downstream artifact links <br> **When** the submit runs <br> **Then** the system rejects it with an error requiring at least one downstream link (Action, Risk, or other artifact) before Issued, and the decision stays in Draft.",FR-067,SL-007,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-029"", ""Given / When / Then"": ""**Given** a Secretary attempts to mark decision DECN-2026-005 as Issued with no downstream artifact links <br> **When** the submit runs <br> **Then** the system rejects it with an error requiring at least one downstream link (Action, Risk, or other artifact) before Issued, and the decision stays in Draft."", ""Verifies"": ""FR-067, US-054"", ""Phase"": ""PH-1""}}",
AC-030,"**Given** a user submits a new topic missing a required field (title, description, type, or affected stream) <br> **When","**Given** a user submits a new topic missing a required field (title, description, type, or affected stream) <br> **When** the form is submitted <br> **Then** the API returns HTTP 400 with field-level validation errors in the active locale (EN or AR), no topic is created, and the form highlights the missing fields.",FR-025,SL-005,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-030"", ""Given / When / Then"": ""**Given** a user submits a new topic missing a required field (title, description, type, or affected stream) <br> **When** the form is submitted <br> **Then** the API returns HTTP 400 with field-level validation errors in the active locale (EN or AR), no topic is created, and the form highlights the missing fields."", ""Verifies"": ""FR-025, US-016"", ""Phase"": ""PH-1""}}",
AC-031,**Given** a Secretary triages a submitted topic and selects Reject <br> **When** the Reject is submitted with no rejecti,"**Given** a Secretary triages a submitted topic and selects Reject <br> **When** the Reject is submitted with no rejection rationale <br> **Then** the system rejects it with an error (""Rejection reason is required"") and the topic stays in Submitted or Triage status.",FR-029,SL-005,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-031"", ""Given / When / Then"": ""**Given** a Secretary triages a submitted topic and selects Reject <br> **When** the Reject is submitted with no rejection rationale <br> **Then** the system rejects it with an error (\""Rejection reason is required\"") and the topic stays in Submitted or Triage status."", ""Verifies"": ""FR-029, US-020"", ""Phase"": ""PH-1""}}",
AC-032,**Given** a Secretary provides a valid rejection rationale and submits <br> **When** the rejection is processed <br> **T,"**Given** a Secretary provides a valid rejection rationale and submits <br> **When** the rejection is processed <br> **Then** the topic transitions to Rejected; the reason, actor, and timestamp are recorded as an immutable history event and the submitter receives an in-app notification.",FR-029,SL-005,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-032"", ""Given / When / Then"": ""**Given** a Secretary provides a valid rejection rationale and submits <br> **When** the rejection is processed <br> **Then** the topic transitions to Rejected; the reason, actor, and timestamp are recorded as an immutable history event and the submitter receives an in-app notification."", ""Verifies"": ""FR-029, US-020"", ""Phase"": ""PH-1""}}",
AC-033,**Given** topic TOP-2026-010 has been Rejected with a recorded reason <br> **When** any user (including Administrator) a,**Given** topic TOP-2026-010 has been Rejected with a recorded reason <br> **When** any user (including Administrator) attempts to delete or modify the rejection event <br> **Then** the system rejects the mutation; the rejection event is immutable.,FR-044,SL-005,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-033"", ""Given / When / Then"": ""**Given** topic TOP-2026-010 has been Rejected with a recorded reason <br> **When** any user (including Administrator) attempts to delete or modify the rejection event <br> **Then** the system rejects the mutation; the rejection event is immutable."", ""Verifies"": ""FR-044, US-021"", ""Phase"": ""PH-1""}}",
AC-034,**Given** topic TOP-2026-012 is Accepted and a Member who is not the Owner attempts to edit its description <br> **When*,**Given** topic TOP-2026-012 is Accepted and a Member who is not the Owner attempts to edit its description <br> **When** the edit is submitted <br> **Then** the system returns HTTP 403; only the Secretary may edit metadata after Acceptance and content fields are locked against retroactive modification.,FR-040,SL-005,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-034"", ""Given / When / Then"": ""**Given** topic TOP-2026-012 is Accepted and a Member who is not the Owner attempts to edit its description <br> **When** the edit is submitted <br> **Then** the system returns HTTP 403; only the Secretary may edit metadata after Acceptance and content fields are locked against retroactive modification."", ""Verifies"": ""FR-040, US-032"", ""Phase"": ""PH-1""}}",
AC-035,**Given** a topic is Accepted and the Owner has completed all required preparation materials <br> **When** the Secretary,"**Given** a topic is Accepted and the Owner has completed all required preparation materials <br> **When** the Secretary marks the topic as Prepared <br> **Then** the topic transitions to Prepared, a `TopicPrepared` audit event is emitted, and the topic becomes eligible for scheduling.",FR-042,SL-005,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-035"", ""Given / When / Then"": ""**Given** a topic is Accepted and the Owner has completed all required preparation materials <br> **When** the Secretary marks the topic as Prepared <br> **Then** the topic transitions to Prepared, a `TopicPrepared` audit event is emitted, and the topic becomes eligible for scheduling."", ""Verifies"": ""FR-042, US-022"", ""Phase"": ""PH-1""}}",
AC-036,**Given** MoM MIN-2026-003 is Published (approved and locked) <br> **When** the Secretary finds an error and submits a c,"**Given** MoM MIN-2026-003 is Published (approved and locked) <br> **When** the Secretary finds an error and submits a correction <br> **Then** the system creates a new version (MIN-2026-003 v2) as a superseding document; the prior version stays readable, immutable, and linked, with no in-place edit.",FR-054,SL-007,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-036"", ""Given / When / Then"": ""**Given** MoM MIN-2026-003 is Published (approved and locked) <br> **When** the Secretary finds an error and submits a correction <br> **Then** the system creates a new version (MIN-2026-003 v2) as a superseding document; the prior version stays readable, immutable, and linked, with no in-place edit."", ""Verifies"": ""FR-054, US-042"", ""Phase"": ""PH-1""}}",
AC-037,**Given** MoM MIN-2026-004 is InReview and the Chairman requests changes <br> **When** the Chairman submits the change r,"**Given** MoM MIN-2026-004 is InReview and the Chairman requests changes <br> **When** the Chairman submits the change request <br> **Then** the MoM transitions back to Draft, the Secretary is notified, and the review cycle restarts.",FR-054,SL-007,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-037"", ""Given / When / Then"": ""**Given** MoM MIN-2026-004 is InReview and the Chairman requests changes <br> **When** the Chairman submits the change request <br> **Then** the MoM transitions back to Draft, the Secretary is notified, and the review cycle restarts."", ""Verifies"": ""FR-054, US-042"", ""Phase"": ""PH-1""}}",
AC-038,**Given** the Chairman approves MoM MIN-2026-005 <br> **When** the approval is committed <br> **Then** the MoM transitio,"**Given** the Chairman approves MoM MIN-2026-005 <br> **When** the approval is committed <br> **Then** the MoM transitions to Published (immutable), an in-app notification with a deep link is sent to all committee members, and the `MoMApproved` audit event records the actor and timestamp.",FR-055,SL-007,Approved,,,,1,,,,"{""v1"": {""ID"": ""AC-038"", ""Given / When / Then"": ""**Given** the Chairman approves MoM MIN-2026-005 <br> **When** the approval is committed <br> **Then** the MoM transitions to Published (immutable), an in-app notification with a deep link is sent to all committee members, and the `MoMApproved` audit event records the actor and timestamp."", ""Verifies"": ""FR-055, US-043"", ""Phase"": ""PH-1""}}",
